,Unnamed: 0,Unnamed: 0.1,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
4,4,4,126.0,14.0,20.0,2.0,0.0,0.0,0.0,0.0,3.378589,0.0,0.0,,,28.37877,28.37877,28.91081,28.542902,-1.0,-1.0,29.12514,0.61380124,0.09928855,0.9171246,1.9857711,-71.066216,0.7463686,-1.0,0.0,0.0,0.081895955,0.004202948,0.09484249,,0.0,0.5611111,8
5,5,5,154.0,14.0,21.0,2.0,0.0,0.0,0.0,0.0,3.033557,0.0,0.0,,,29.797709,29.797709,30.400333,29.876902,-1.0,-1.0,33.511963,0.7582672,0.095670305,0.91187185,2.0090764,-65.72206,3.7142537,-1.0,0.0,0.0,0.106990226,0.0051902235,0.07878305,,0.0,0.58055556,8
6,6,6,182.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,2.069223,0.0,0.0,,,19.865139,19.865139,20.417967,19.88923,-1.0,-1.0,23.31591,0.88258636,0.14330392,0.86013764,2.006255,-33.461864,3.4507709,-1.0,0.0,0.0,0.05904533,0.004251392,0.06692886,,0.0,0.60555553,8
7,7,0,14.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.59928954,0.0,0.0,822.6892,137.84558,113.51508,113.51508,112.42646,113.36392,-1.0,-1.0,153.21747,1.9663155,0.0038554103,0.9923654,0.30843282,-246.3188,39.702385,-1.0,0.0,0.0,0.019380582,0.00024946005,0.25308535,2.81807,0.0,0.46060926,9
8,8,1,42.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.24362528,0.0,0.0,7772.323,166.25368,113.51508,113.51508,112.57526,112.44438,-1.0,-1.0,150.6527,1.9025992,0.005038165,0.96819437,0.4030532,-265.0775,37.13761,-1.0,0.0,0.0,0.0035239807,4.6345725e-05,0.24549024,2.8876317,0.0,0.5354517,9
9,9,2,70.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.18747345,0.0,0.0,21875.777,189.04178,113.51508,113.51508,113.40361,113.04996,-1.0,-1.0,151.16293,1.9140778,0.007831043,0.98054063,0.62648344,-262.73288,37.64785,-1.0,0.0,0.0,0.0028843442,3.7911515e-05,0.22922842,2.9070866,0.0,0.5157563,9
10,10,3,98.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.19587837,0.0,0.0,43010.418,212.85683,113.51508,113.51508,113.10812,112.806366,-1.0,-1.0,148.98398,1.8603098,0.012459914,0.9698221,0.99679315,-254.6224,35.468895,-1.0,0.0,0.0,0.0039562862,4.6979512e-05,0.24060118,2.9117339,0.0,0.5186449,9
11,11,4,126.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.28827402,0.0,0.0,,,113.51508,113.51508,112.77843,112.73557,-1.0,-1.0,149.1121,1.864219,0.019684559,0.9608278,1.5747647,-244.18616,35.597023,-1.0,0.0,0.0,0.00631249,7.998938e-05,0.24884547,,0.0,0.5223214,9
12,12,5,154.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.47374138,0.0,0.0,,,113.51508,113.51508,112.382164,112.880455,-1.0,-1.0,149.30241,1.8676525,0.03449195,0.94964224,2.759356,-217.75058,35.78733,-1.0,0.0,0.0,0.0128628,0.000165173,0.24485227,,0.0,0.5884979,9
13,13,6,182.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.3302402,0.0,0.0,,,113.51508,113.51508,112.5862,113.20445,-1.0,-1.0,150.4587,1.8972603,0.064985275,0.9272488,5.198822,-180.09348,36.94361,-1.0,0.0,0.0,0.020343732,0.00024058968,0.25372326,,0.0,0.60189074,9
14,14,0,14.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,19.276989,0.0,0.0,-469.1584,20.247879,14.189385,14.189385,12.253027,14.173784,-1.0,-1.0,15.790502,0.40298873,0.013172394,0.9837072,0.13172394,-18.605156,1.6011163,-1.0,0.0,0.0,0.30664247,0.030507514,0.056777578,0.6210501,0.0,0.32110092,10
15,15,1,42.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,9.812198,0.0,0.0,-1456.9619,38.327045,14.189385,14.189385,12.8924265,14.159083,-1.0,-1.0,13.885422,0.021735873,0.012220503,0.98171926,0.12220503,-35.118298,-0.30396357,-1.0,0.0,0.0,0.19488594,0.01943496,0.06253571,1.1436245,0.0,0.28998804,10
16,16,2,70.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,4.9516926,0.0,0.0,7514.709,56.716236,18.446201,18.446201,18.488132,18.996696,-1.0,-1.0,18.504362,0.011796593,0.009945026,1.0747466,0.12928534,-50.788662,0.058161173,-1.0,0.0,0.0,0.09843297,0.007580765,0.07830158,1.9301432,0.0,0.33266854,10
