,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
5,22.0,2.0,81.0,2.0,0.0,0.0,0.0,0.0,4.3306785,14.570757,12.337463,692.0451,192.30112,114.93402,114.93402,113.65955,114.27705,-1.0,-1.0,125.3747,1.2531109,0.13359883,0.8501799,10.821506,-44.497963,10.440681,-1.0,0.0,0.0,0.24204828,0.0029876486,0.04286505,1.8955536,0.7192676,0.656007,4
6,24.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,3.8197682,14.084677,12.419229,863.3844,210.176,123.447655,123.447655,122.300865,122.893135,-1.0,-1.0,133.5663,1.2284265,0.17449947,0.812753,15.181454,-22.92852,10.118647,-1.0,0.0,0.0,0.23083463,0.0026548353,0.04369389,1.9185823,0.7279668,0.645602,4
7,26.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,3.252466,13.613167,12.499613,1062.1603,223.85127,129.12341,129.12341,128.15448,128.74478,-1.0,-1.0,138.92175,1.2119334,0.23704587,0.75463235,21.571175,8.632839,9.7983465,-1.0,0.0,0.0,0.20291543,0.0022303073,0.03928957,1.9426862,0.7298635,0.646152,4
8,28.0,2.0,93.0,2.0,0.0,0.0,0.0,0.0,2.0515113,13.208196,12.577579,1279.7938,233.45917,131.96129,131.96129,131.38597,131.79453,-1.0,-1.0,144.6713,1.2708411,0.35063583,0.6457771,32.60913,49.03565,12.7100115,-1.0,0.0,0.0,0.11352189,0.001215159,0.038645454,1.9630686,0.72760564,0.661483,4
9,30.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,1.0771427,12.910472,12.654308,1505.3635,242.43658,134.79916,134.79916,134.39806,134.83719,-1.0,-1.0,143.29633,1.177479,0.607444,0.39335564,57.70718,104.08421,8.497165,-1.0,0.0,0.0,0.04128625,0.00043607104,0.03193803,1.9764806,0.72317874,0.6575405,4
0,12.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,8.6499815,15.006836,12.364502,169.84024,62.409557,36.892403,36.892403,36.104687,36.68682,-1.0,-1.0,38.774834,1.1431475,0.08322448,0.9009613,2.1638365,-31.505798,1.8824319,-1.0,0.0,0.0,0.12218983,0.004693261,0.013047803,1.8120872,0.5063449,0.774923,5
1,14.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,7.208781,15.172312,12.303546,228.99039,82.16478,48.24391,48.24391,47.354546,47.93121,-1.0,-1.0,52.000263,1.2194496,0.07809137,0.9035143,2.6551065,-41.9719,3.7563531,-1.0,0.0,0.0,0.13817503,0.004062509,0.013572672,1.808378,0.5061789,0.781387,5
2,16.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,6.2708015,15.226312,12.346744,308.42157,104.25278,61.01436,61.01436,59.997513,60.60321,-1.0,-1.0,66.54828,1.2560197,0.08160328,0.89927334,3.5089412,-48.83955,5.5339217,-1.0,0.0,0.0,0.15615514,0.003628613,0.016050344,1.8205291,0.5068256,0.779012,5
3,18.0,2.0,51.0,2.0,0.0,0.0,0.0,0.0,6.13659,15.086704,12.429076,409.29303,125.32383,72.36587,72.36587,71.32,71.89983,-1.0,-1.0,78.141266,1.2251557,0.09051758,0.8912063,4.6163964,-50.724342,5.7754006,-1.0,0.0,0.0,0.1889242,0.0037020743,0.021816313,1.8400218,0.49944732,0.77493,5
4,20.0,2.0,59.0,2.0,0.0,0.0,0.0,0.0,5.305217,14.847759,12.524497,519.1485,146.71173,83.71738,83.71738,82.68815,83.241684,-1.0,-1.0,90.48188,1.2280027,0.103595965,0.88027877,6.112162,-44.278328,6.764507,-1.0,0.0,0.0,0.19647984,0.0033324875,0.019106304,1.8515623,0.49113297,0.765004,5
